day,hour,price,action,reward
1,1,24.31,0.0,-0.0
1,2,24.31,0.0,-0.0
1,3,21.71,0.0,-0.0
1,4,8.42,0.0,-0.0
1,5,0.01,0.0,-0.0
1,6,0.01,0.0,-0.0
1,7,0.02,0.0,-0.0
1,8,0.01,0.0,-0.0
1,9,0.01,0.0,-0.0
1,10,6.31,0.0,-0.0
1,11,7.81,0.0,-0.0
1,12,9.31,0.0,-0.0
1,13,21.7,0.0,-217.0
1,14,14.01,0.0,-140.1
1,15,15.0,0.0,-150.0
1,16,10.0,0.0,-100.0
1,17,8.17,0.0,-81.7
1,18,27.77,0.0,-277.7
1,19,37.99,0.0,-379.90000000000003
1,20,33.11,0.0,-331.1
1,21,37.99,0.0,-379.90000000000003
1,22,33.0,0.0,-330.0
1,23,36.48,0.0,-364.79999999999995
1,24,30.65,0.0,-306.5
2,1,16.01,0.0,-0.0
2,2,11.0,0.0,-0.0
2,3,9.01,0.0,-0.0
2,4,7.5,0.0,-0.0
2,5,9.0,0.0,-0.0
2,6,7.45,0.0,-0.0
2,7,16.5,0.0,-0.0
2,8,28.01,0.0,-0.0
2,9,29.96,0.0,-0.0
2,10,39.6,0.0,-0.0
2,11,48.15,0.0,-0.0
2,12,49.93,0.0,-0.0
2,13,49.0,0.0,-490.0
2,14,46.01,0.0,-460.09999999999997
2,15,37.57,0.0,-375.7
2,16,36.45,0.0,-364.5
2,17,37.99,0.0,-379.90000000000003
2,18,53.0,0.0,-530.0
2,19,59.69,0.0,-596.9
2,20,50.09,0.0,-500.90000000000003
2,21,50.0,0.0,-500.0
2,22,36.22,0.0,-362.2
2,23,31.09,0.0,-310.9
2,24,29.84,0.0,-298.4
3,1,28.0,0.0,-0.0
3,2,24.5,0.0,-0.0
3,3,24.15,0.0,-0.0
3,4,18.99,0.0,-0.0
3,5,15.5,0.0,-0.0
3,6,23.11,0.0,-0.0
3,7,29.01,0.0,-0.0
3,8,39.73,0.0,-0.0
3,9,43.81,0.0,-0.0
3,10,49.09,0.0,-0.0
3,11,51.0,0.0,-0.0
3,12,53.04,0.0,-0.0
3,13,49.99,0.0,-499.90000000000003
3,14,47.0,0.0,-470.0
3,15,43.21,0.0,-432.1
3,16,43.99,0.0,-439.90000000000003
3,17,48.0,0.0,-480.0
3,18,57.0,0.0,-570.0
3,19,60.99,0.0,-609.9
3,20,55.51,0.0,-555.1
3,21,51.77,0.0,-517.7
3,22,34.51,0.0,-345.09999999999997
3,23,39.31,0.0,-393.1
3,24,38.05,0.0,-380.5
4,1,31.01,0.0,-0.0
4,2,28.69,0.0,-0.0
4,3,27.0,0.0,-0.0
4,4,24.2,0.0,-0.0
4,5,12.02,0.0,-0.0
4,6,27.0,0.0,-0.0
4,7,28.0,0.0,-0.0
4,8,34.85,0.0,-0.0
4,9,41.31,0.0,-0.0
4,10,42.03,0.0,-0.0
4,11,46.0,0.0,-0.0
4,12,45.96,0.0,-0.0
4,13,45.6,0.0,-456.0
4,14,42.35,0.0,-423.5
4,15,40.01,0.0,-400.09999999999997
4,16,38.0,0.0,-380.0
4,17,42.66,0.0,-426.59999999999997
4,18,53.0,0.0,-530.0
4,19,58.99,0.0,-589.9
4,20,53.5,0.0,-535.0
4,21,44.01,0.0,-440.09999999999997
4,22,35.0,0.0,-350.0
4,23,34.46,0.0,-344.6
4,24,31.57,0.0,-315.7
5,1,22.0,0.0,-0.0
5,2,19.5,0.0,-0.0
