day,hour,price,action,reward
1,1,24.31,1.0,-243.1
1,2,24.31,1.0,-243.1
1,3,21.71,1.0,-217.10000000000002
1,4,8.42,1.0,-84.2
1,5,0.01,1.0,-0.1
1,6,0.01,1.0,-0.1
1,7,0.02,1.0,-0.2
1,8,0.01,1.0,-0.1
1,9,0.01,1.0,-0.1
1,10,6.31,1.0,-63.099999999999994
1,11,7.81,0.0,-0.0
1,12,9.31,0.0,-0.0
1,13,21.7,1.0,-217.0
1,14,14.01,1.0,-140.1
1,15,15.0,0.0,-0.0
1,16,10.0,1.0,-100.0
1,17,8.17,0.0,-0.0
1,18,27.77,0.0,-0.0
1,19,37.99,1.0,-379.90000000000003
1,20,33.11,0.0,-0.0
1,21,37.99,0.0,-0.0
1,22,33.0,1.0,-330.0
1,23,36.48,1.0,-364.79999999999995
1,24,30.65,-1.0,245.20000000000002
2,1,16.01,1.0,-160.10000000000002
2,2,11.0,1.0,-110.0
2,3,9.01,1.0,-90.1
2,4,7.5,1.0,-75.0
2,5,9.0,1.0,-90.0
2,6,7.45,1.0,-74.5
2,7,16.5,1.0,-165.0
2,8,28.01,1.0,-280.1
2,9,29.96,0.0,-0.0
2,10,39.6,0.0,-0.0
2,11,48.15,0.0,-0.0
2,12,49.93,0.0,-0.0
2,13,49.0,0.0,-0.0
2,14,46.01,1.0,-460.09999999999997
2,15,37.57,0.0,-0.0
2,16,36.45,1.0,-364.5
2,17,37.99,0.0,-0.0
2,18,53.0,0.0,-0.0
2,19,59.69,1.0,-596.9
2,20,50.09,0.0,-0.0
2,21,50.0,0.0,-0.0
2,22,36.22,1.0,-362.2
2,23,31.09,1.0,-310.9
2,24,29.84,-1.0,238.72
3,1,28.0,1.0,-280.0
3,2,24.5,1.0,-245.0
3,3,24.15,1.0,-241.5
3,4,18.99,1.0,-189.89999999999998
3,5,15.5,1.0,-155.0
3,6,23.11,1.0,-231.1
3,7,29.01,1.0,-290.1
3,8,39.73,1.0,-397.29999999999995
3,9,43.81,0.0,-0.0
3,10,49.09,0.0,-0.0
3,11,51.0,0.0,-0.0
3,12,53.04,0.0,-0.0
3,13,49.99,0.0,-0.0
3,14,47.0,1.0,-470.0
3,15,43.21,0.0,-0.0
3,16,43.99,1.0,-439.90000000000003
3,17,48.0,0.0,-0.0
3,18,57.0,0.0,-0.0
3,19,60.99,1.0,-609.9
3,20,55.51,0.0,-0.0
3,21,51.77,0.0,-0.0
3,22,34.51,1.0,-345.09999999999997
3,23,39.31,1.0,-393.1
3,24,38.05,-1.0,304.40000000000003
4,1,31.01,1.0,-310.1
4,2,28.69,1.0,-286.90000000000003
4,3,27.0,1.0,-270.0
4,4,24.2,1.0,-242.0
4,5,12.02,1.0,-120.19999999999999
4,6,27.0,1.0,-270.0
4,7,28.0,1.0,-280.0
4,8,34.85,1.0,-348.5
4,9,41.31,0.0,-0.0
4,10,42.03,0.0,-0.0
4,11,46.0,0.0,-0.0
4,12,45.96,0.0,-0.0
4,13,45.6,0.0,-0.0
4,14,42.35,1.0,-423.5
4,15,40.01,0.0,-0.0
4,16,38.0,1.0,-380.0
4,17,42.66,0.0,-0.0
4,18,53.0,0.0,-0.0
4,19,58.99,1.0,-589.9
4,20,53.5,0.0,-0.0
4,21,44.01,0.0,-0.0
4,22,35.0,1.0,-350.0
4,23,34.46,1.0,-344.6
4,24,31.57,-1.0,252.56
5,1,22.0,1.0,-220.0
5,2,19.5,1.0,-195.0
5,3,17.55,1.0,-175.5
5,4,15.91,1.0,-159.1
5,5,11.4,1.0,-114.0
5,6,22.65,1.0,-226.5
5,7,27.3,1.0,-273.0
5,8,34.0,1.0,-340.0
5,9,40.01,0.0,-0.0
5,10,45.0,0.0,-0.0
5,11,50.34,0.0,-0.0
5,12,49.84,0.0,-0.0
5,13,48.81,0.0,-0.0
5,14,47.94,1.0,-479.4
5,15,40.06,0.0,-0.0
5,16,38.0,1.0,-380.0
5,17,38.61,0.0,-0.0
5,18,49.84,0.0,-0.0
5,19,53.0,1.0,-530.0
5,20,45.91,0.0,-0.0
5,21,36.74,0.0,-0.0
5,22,29.61,1.0,-296.1
5,23,30.61,1.0,-306.1
5,24,27.51,-1.0,220.08000000000004
6,1,25.0,1.0,-250.0
6,2,22.99,1.0,-229.89999999999998
6,3,20.99,1.0,-209.89999999999998
6,4,18.0,1.0,-180.0
6,5,16.95,1.0,-169.5
6,6,20.01,1.0,-200.10000000000002
6,7,20.0,1.0,-200.0
6,8,25.57,1.0,-255.7
6,9,27.69,0.0,-0.0
6,10,29.61,0.0,-0.0
6,11,31.99,0.0,-0.0
6,12,33.07,0.0,-0.0
6,13,35.99,0.0,-0.0
6,14,33.11,1.0,-331.1
6,15,31.3,0.0,-0.0
6,16,29.29,1.0,-292.9
6,17,30.19,0.0,-0.0
6,18,42.05,0.0,-0.0
6,19,50.0,1.0,-500.0
6,20,48.3,0.0,-0.0
6,21,34.49,0.0,-0.0
6,22,28.99,1.0,-289.9
6,23,30.0,1.0,-300.0
6,24,26.75,-1.0,214.0
7,1,22.0,1.0,-220.0
7,2,18.29,1.0,-182.89999999999998
7,3,16.59,1.0,-165.9
7,4,9.17,1.0,-91.7
7,5,8.0,1.0,-80.0
7,6,8.19,1.0,-81.89999999999999
7,7,9.01,1.0,-90.1
7,8,9.06,1.0,-90.60000000000001
7,9,12.59,0.0,-0.0
7,10,16.1,0.0,-0.0
7,11,23.0,0.0,-0.0
7,12,28.27,0.0,-0.0
7,13,26.91,0.0,-0.0
7,14,23.99,1.0,-239.89999999999998
7,15,20.99,0.0,-0.0
7,16,22.59,1.0,-225.9
7,17,22.6,0.0,-0.0
7,18,33.49,0.0,-0.0
7,19,34.99,1.0,-349.90000000000003
7,20,35.99,0.0,-0.0
7,21,35.69,0.0,-0.0
7,22,29.39,1.0,-293.9
7,23,31.29,1.0,-312.9
7,24,23.0,-1.0,184.0
8,1,13.0,1.0,-130.0
8,2,13.0,1.0,-130.0
8,3,10.0,1.0,-100.0
8,4,3.4,1.0,-34.0
8,5,10.0,1.0,-100.0
8,6,13.0,1.0,-130.0
8,7,24.01,1.0,-240.10000000000002
8,8,43.9,1.0,-439.0
8,9,45.7,0.0,-0.0
8,10,43.0,0.0,-0.0
8,11,43.0,0.0,-0.0
8,12,46.0,0.0,-0.0
8,13,46.01,0.0,-0.0
8,14,46.01,1.0,-460.09999999999997
8,15,40.07,0.0,-0.0
8,16,38.97,1.0,-389.7
8,17,46.01,0.0,-0.0
8,18,52.01,0.0,-0.0
8,19,54.0,1.0,-540.0
8,20,50.17,0.0,-0.0
8,21,45.0,0.0,-0.0
8,22,30.56,1.0,-305.59999999999997
8,23,30.01,1.0,-300.1
8,24,28.01,-1.0,224.08000000000004
9,1,18.51,1.0,-185.10000000000002
9,2,16.81,1.0,-168.1
9,3,13.01,1.0,-130.1
9,4,10.01,1.0,-100.1
9,5,8.17,1.0,-81.7
9,6,16.0,1.0,-160.0
9,7,26.0,1.0,-260.0
9,8,36.54,1.0,-365.4
9,9,40.0,0.0,-0.0
9,10,39.33,0.0,-0.0
9,11,40.69,0.0,-0.0
9,12,42.0,0.0,-0.0
9,13,39.28,0.0,-0.0
9,14,37.86,1.0,-378.6
9,15,36.0,0.0,-0.0
9,16,32.31,1.0,-323.1
9,17,38.76,0.0,-0.0
9,18,47.82,0.0,-0.0
9,19,54.14,1.0,-541.4
9,20,48.1,0.0,-0.0
9,21,44.95,0.0,-0.0
9,22,30.0,1.0,-300.0
9,23,27.5,1.0,-275.0
9,24,23.13,-1.0,185.04
10,1,12.43,1.0,-124.3
10,2,15.09,1.0,-150.9
10,3,13.04,1.0,-130.39999999999998
10,4,12.01,1.0,-120.1
10,5,11.26,1.0,-112.6
10,6,16.0,1.0,-160.0
10,7,21.01,1.0,-210.10000000000002
10,8,36.0,1.0,-360.0
10,9,35.87,0.0,-0.0
10,10,37.21,0.0,-0.0
10,11,37.1,0.0,-0.0
10,12,37.05,0.0,-0.0
10,13,37.48,0.0,-0.0
10,14,36.11,1.0,-361.1
10,15,36.01,0.0,-0.0
10,16,34.21,1.0,-342.1
10,17,38.06,0.0,-0.0
10,18,46.0,0.0,-0.0
10,19,50.0,1.0,-500.0
10,20,42.54,0.0,-0.0
10,21,38.07,0.0,-0.0
10,22,30.5,1.0,-305.0
10,23,28.0,1.0,-280.0
10,24,27.18,-1.0,217.44000000000003
11,1,15.4,1.0,-154.0
11,2,16.71,1.0,-167.10000000000002
11,3,14.8,1.0,-148.0
11,4,9.5,1.0,-95.0
11,5,8.18,1.0,-81.8
11,6,15.5,1.0,-155.0
11,7,22.91,1.0,-229.1
11,8,35.99,1.0,-359.90000000000003
11,9,39.93,0.0,-0.0
11,10,39.44,0.0,-0.0
11,11,38.0,0.0,-0.0
11,12,38.0,0.0,-0.0
11,13,37.05,0.0,-0.0
11,14,35.69,1.0,-356.9
11,15,35.59,0.0,-0.0
11,16,33.1,1.0,-331.0
11,17,37.62,0.0,-0.0
11,18,45.48,0.0,-0.0
11,19,49.43,1.0,-494.3
11,20,42.06,0.0,-0.0
11,21,37.64,0.0,-0.0
11,22,29.71,1.0,-297.1
11,23,25.93,1.0,-259.3
11,24,23.17,-1.0,185.36
12,1,14.59,1.0,-145.9
12,2,17.99,1.0,-179.89999999999998
12,3,15.0,1.0,-150.0
12,4,12.01,1.0,-120.1
12,5,9.07,1.0,-90.7
12,6,18.8,1.0,-188.0
12,7,23.0,1.0,-230.0
12,8,33.0,1.0,-330.0
12,9,36.2,0.0,-0.0
12,10,34.5,0.0,-0.0
12,11,34.99,0.0,-0.0
12,12,34.8,0.0,-0.0
12,13,34.0,0.0,-0.0
12,14,34.49,1.0,-344.90000000000003
12,15,31.99,0.0,-0.0
12,16,29.9,1.0,-299.0
12,17,29.5,0.0,-0.0
12,18,35.3,0.0,-0.0
12,19,38.0,1.0,-380.0
12,20,38.5,0.0,-0.0
12,21,32.0,0.0,-0.0
12,22,24.99,1.0,-249.89999999999998
12,23,26.99,1.0,-269.9
12,24,23.43,-1.0,187.44000000000003
13,1,23.0,1.0,-230.0
13,2,21.0,1.0,-210.0
13,3,16.0,1.0,-160.0
13,4,11.6,1.0,-116.0
13,5,1.04,1.0,-10.4
13,6,10.01,1.0,-100.1
13,7,13.0,1.0,-130.0
13,8,16.01,1.0,-160.10000000000002
13,9,24.41,0.0,-0.0
13,10,32.0,0.0,-0.0
13,11,31.99,0.0,-0.0
13,12,31.99,0.0,-0.0
13,13,35.0,0.0,-0.0
13,14,32.99,1.0,-329.90000000000003
13,15,24.22,0.0,-0.0
13,16,24.42,1.0,-244.20000000000002
13,17,23.77,0.0,-0.0
13,18,31.99,0.0,-0.0
13,19,36.99,1.0,-369.90000000000003
13,20,36.66,0.0,-0.0
13,21,29.56,0.0,-0.0
13,22,22.01,1.0,-220.10000000000002
13,23,24.01,1.0,-240.10000000000002
13,24,23.7,-1.0,189.60000000000002
14,1,16.0,1.0,-160.0
14,2,15.01,1.0,-150.1
14,3,13.01,1.0,-130.1
14,4,0.01,1.0,-0.1
14,5,11.01,1.0,-110.1
14,6,11.01,1.0,-110.1
14,7,9.01,1.0,-90.1
14,8,12.01,1.0,-120.1
14,9,10.61,0.0,-0.0
14,10,19.91,0.0,-0.0
14,11,27.99,0.0,-0.0
14,12,28.99,0.0,-0.0
14,13,31.0,0.0,-0.0
14,14,26.0,1.0,-260.0
14,15,22.66,0.0,-0.0
14,16,12.28,1.0,-122.8
14,17,17.91,0.0,-0.0
14,18,27.0,0.0,-0.0
14,19,35.0,1.0,-350.0
14,20,37.0,0.0,-0.0
14,21,35.0,0.0,-0.0
14,22,29.0,1.0,-290.0
14,23,31.0,1.0,-310.0
14,24,24.0,-1.0,192.0
15,1,23.07,1.0,-230.7
15,2,22.42,1.0,-224.20000000000002
15,3,21.84,1.0,-218.4
15,4,17.4,1.0,-174.0
15,5,21.0,1.0,-210.0
15,6,24.0,1.0,-240.0
15,7,27.0,1.0,-270.0
15,8,43.99,1.0,-439.90000000000003
15,9,39.9,0.0,-0.0
15,10,44.29,0.0,-0.0
15,11,43.59,0.0,-0.0
15,12,44.19,0.0,-0.0
15,13,39.99,0.0,-0.0
15,14,39.99,1.0,-399.90000000000003
15,15,37.0,0.0,-0.0
15,16,33.57,1.0,-335.7
15,17,39.89,0.0,-0.0
15,18,49.0,0.0,-0.0
15,19,62.46,1.0,-624.6
15,20,47.5,0.0,-0.0
15,21,40.6,0.0,-0.0
15,22,28.0,1.0,-280.0
15,23,27.01,1.0,-270.1
15,24,25.67,-1.0,205.36000000000004
16,1,26.28,1.0,-262.8
16,2,22.0,1.0,-220.0
16,3,20.51,1.0,-205.10000000000002
16,4,20.0,1.0,-200.0
16,5,17.1,1.0,-171.0
16,6,24.81,1.0,-248.1
16,7,28.06,1.0,-280.59999999999997
16,8,45.0,1.0,-450.0
16,9,48.0,0.0,-0.0
16,10,46.4,0.0,-0.0
16,11,47.3,0.0,-0.0
16,12,48.11,0.0,-0.0
16,13,47.54,0.0,-0.0
16,14,45.2,1.0,-452.0
16,15,43.64,0.0,-0.0
16,16,41.84,1.0,-418.40000000000003
16,17,45.59,0.0,-0.0
16,18,55.1,0.0,-0.0
16,19,62.62,1.0,-626.1999999999999
16,20,52.99,0.0,-0.0
16,21,43.0,0.0,-0.0
16,22,32.25,1.0,-322.5
16,23,30.23,1.0,-302.3
16,24,25.45,-1.0,203.60000000000002
17,1,20.0,1.0,-200.0
17,2,19.0,1.0,-190.0
17,3,18.0,1.0,-180.0
17,4,13.68,1.0,-136.8
17,5,11.01,1.0,-110.1
17,6,16.01,1.0,-160.10000000000002
17,7,22.01,1.0,-220.10000000000002
17,8,35.99,1.0,-359.90000000000003
17,9,39.96,0.0,-0.0
17,10,35.99,0.0,-0.0
17,11,34.98,0.0,-0.0
17,12,41.63,0.0,-0.0
17,13,35.14,0.0,-0.0
17,14,35.0,1.0,-350.0
17,15,32.0,0.0,-0.0
17,16,30.0,1.0,-300.0
17,17,34.96,0.0,-0.0
17,18,75.0,0.0,-0.0
17,19,60.0,1.0,-600.0
17,20,39.9,0.0,-0.0
17,21,31.99,0.0,-0.0
17,22,27.99,1.0,-279.9
17,23,26.0,1.0,-260.0
17,24,22.01,-1.0,176.08000000000004
18,1,21.14,1.0,-211.4
18,2,18.0,1.0,-180.0
18,3,15.06,1.0,-150.6
18,4,14.25,1.0,-142.5
18,5,12.51,1.0,-125.1
18,6,22.5,1.0,-225.0
18,7,25.5,1.0,-255.0
18,8,35.99,1.0,-359.90000000000003
18,9,39.96,0.0,-0.0
18,10,60.0,0.0,-0.0
18,11,80.0,0.0,-0.0
18,12,124.0,0.0,-0.0
18,13,49.99,0.0,-0.0
18,14,75.0,1.0,-750.0
18,15,60.0,0.0,-0.0
18,16,43.01,1.0,-430.09999999999997
18,17,50.06,0.0,-0.0
18,18,129.44,0.0,-0.0
18,19,49.99,1.0,-499.90000000000003
18,20,35.99,0.0,-0.0
18,21,32.99,0.0,-0.0
18,22,25.49,1.0,-254.89999999999998
18,23,24.01,1.0,-240.10000000000002
18,24,19.0,-1.0,152.0
19,1,15.21,1.0,-152.10000000000002
19,2,12.15,1.0,-121.5
19,3,12.01,1.0,-120.1
19,4,10.31,1.0,-103.10000000000001
19,5,9.72,1.0,-97.2
19,6,17.49,1.0,-174.89999999999998
19,7,29.29,1.0,-292.9
19,8,40.0,1.0,-400.0
19,9,36.0,0.0,-0.0
19,10,34.8,0.0,-0.0
19,11,34.8,0.0,-0.0
19,12,34.8,0.0,-0.0
19,13,34.69,0.0,-0.0
19,14,32.19,1.0,-321.9
19,15,29.99,0.0,-0.0
19,16,28.0,1.0,-280.0
19,17,32.02,0.0,-0.0
19,18,46.0,0.0,-0.0
19,19,46.79,1.0,-467.9
19,20,32.3,0.0,-0.0
19,21,29.0,0.0,-0.0
19,22,22.0,1.0,-220.0
19,23,21.25,1.0,-212.5
19,24,16.3,-1.0,130.4
20,1,14.0,1.0,-140.0
20,2,13.11,1.0,-131.1
20,3,12.01,1.0,-120.1
20,4,11.01,1.0,-110.1
20,5,8.0,1.0,-80.0
20,6,11.8,1.0,-118.0
20,7,10.01,1.0,-100.1
20,8,15.59,1.0,-155.9
20,9,24.59,0.0,-0.0
20,10,27.39,0.0,-0.0
20,11,31.49,0.0,-0.0
20,12,32.39,0.0,-0.0
20,13,33.09,0.0,-0.0
20,14,31.29,1.0,-312.9
20,15,28.0,0.0,-0.0
20,16,24.19,1.0,-241.9
20,17,9.17,0.0,-0.0
20,18,32.39,0.0,-0.0
20,19,35.79,1.0,-357.9
20,20,34.39,0.0,-0.0
20,21,32.69,0.0,-0.0
20,22,25.99,1.0,-259.9
20,23,25.0,1.0,-250.0
20,24,19.0,-1.0,152.0
21,1,8.01,1.0,-80.1
21,2,8.31,1.0,-83.10000000000001
21,3,7.21,1.0,-72.1
21,4,0.01,1.0,-0.1
21,5,5.11,1.0,-51.1
21,6,8.31,1.0,-83.10000000000001
21,7,2.01,1.0,-20.099999999999998
21,8,5.31,1.0,-53.099999999999994
21,9,7.31,0.0,-0.0
21,10,8.68,0.0,-0.0
21,11,9.31,0.0,-0.0
21,12,20.09,0.0,-0.0
21,13,21.79,0.0,-0.0
21,14,18.89,1.0,-188.9
21,15,9.18,0.0,-0.0
21,16,9.17,1.0,-91.7
21,17,8.31,0.0,-0.0
21,18,24.99,0.0,-0.0
21,19,26.01,1.0,-260.1
21,20,29.0,0.0,-0.0
21,21,27.99,0.0,-0.0
21,22,26.0,1.0,-260.0
21,23,23.3,1.0,-233.0
21,24,18.89,-1.0,151.12
22,1,16.69,1.0,-166.9
22,2,16.09,1.0,-160.9
22,3,16.59,1.0,-165.9
22,4,9.18,1.0,-91.8
22,5,10.81,1.0,-108.10000000000001
22,6,20.74,1.0,-207.39999999999998
22,7,24.6,1.0,-246.0
22,8,56.45,1.0,-564.5
22,9,51.0,0.0,-0.0
22,10,52.7,0.0,-0.0
22,11,53.0,0.0,-0.0
22,12,50.5,0.0,-0.0
22,13,49.93,0.0,-0.0
22,14,49.99,1.0,-499.90000000000003
22,15,47.27,0.0,-0.0
22,16,44.41,1.0,-444.09999999999997
22,17,47.95,0.0,-0.0
22,18,54.2,0.0,-0.0
22,19,67.12,1.0,-671.2
22,20,51.41,0.0,-0.0
22,21,57.17,0.0,-0.0
22,22,42.65,1.0,-426.5
22,23,40.0,1.0,-400.0
22,24,38.66,-1.0,309.28
23,1,30.81,1.0,-308.09999999999997
23,2,26.27,1.0,-262.7
23,3,25.0,1.0,-250.0
23,4,24.5,1.0,-245.0
23,5,23.64,1.0,-236.4
23,6,27.1,1.0,-271.0
23,7,35.28,1.0,-352.8
23,8,57.0,1.0,-570.0
23,9,61.44,0.0,-0.0
23,10,63.18,0.0,-0.0
23,11,65.5,0.0,-0.0
23,12,67.54,0.0,-0.0
23,13,61.95,0.0,-0.0
23,14,58.4,1.0,-584.0
23,15,55.66,0.0,-0.0
23,16,54.15,1.0,-541.5
23,17,71.01,0.0,-0.0
23,18,99.99,0.0,-0.0
23,19,115.54,1.0,-1155.4
23,20,83.93,0.0,-0.0
23,21,54.28,0.0,-0.0
23,22,42.38,1.0,-423.8
23,23,43.0,1.0,-430.0
23,24,38.0,-1.0,304.0
24,1,35.0,1.0,-350.0
24,2,33.67,1.0,-336.70000000000005
24,3,30.0,1.0,-300.0
24,4,29.14,1.0,-291.4
24,5,26.99,1.0,-269.9
24,6,32.01,1.0,-320.09999999999997
24,7,38.0,1.0,-380.0
24,8,65.2,1.0,-652.0
24,9,65.0,0.0,-0.0
24,10,65.0,0.0,-0.0
24,11,66.01,0.0,-0.0
24,12,66.01,0.0,-0.0
24,13,62.0,0.0,-0.0
24,14,59.76,1.0,-597.6
24,15,58.0,0.0,-0.0
24,16,54.0,1.0,-540.0
24,17,78.0,0.0,-0.0
24,18,99.48,0.0,-0.0
24,19,111.2,1.0,-1112.0
24,20,83.25,0.0,-0.0
