day,hour,price,action,reward
1,1,13.2,1.0,-132.0
1,2,13.14,1.0,-131.4
1,3,11.83,1.0,-118.3
1,4,9.49,1.0,-94.9
1,5,8.63,1.0,-86.30000000000001
1,6,7.12,1.0,-71.2
1,7,4.06,1.0,-40.599999999999994
1,8,1.0,1.0,-10.0
1,9,8.4,1.0,-84.0
1,10,9.11,1.0,-91.1
1,11,10.18,0.0,-0.0
1,12,13.56,0.0,-0.0
1,13,18.02,1.0,-180.2
1,14,15.02,1.0,-150.2
1,15,12.58,0.0,-0.0
1,16,10.18,1.0,-101.8
1,17,9.81,0.0,-0.0
1,18,18.79,0.0,-0.0
1,19,22.7,1.0,-227.0
1,20,30.06,0.0,-0.0
1,21,27.3,0.0,-0.0
1,22,23.93,1.0,-239.3
1,23,33.49,1.0,-334.90000000000003
1,24,31.06,-1.0,248.48
2,1,23.0,1.0,-230.0
2,2,17.45,1.0,-174.5
2,3,19.12,1.0,-191.20000000000002
2,4,12.76,1.0,-127.6
2,5,10.19,1.0,-101.89999999999999
2,6,11.99,1.0,-119.9
2,7,15.65,1.0,-156.5
2,8,23.5,1.0,-235.0
2,9,28.9,0.0,-0.0
2,10,37.12,0.0,-0.0
2,11,41.82,0.0,-0.0
2,12,44.69,0.0,-0.0
2,13,47.0,0.0,-0.0
2,14,41.15,1.0,-411.5
2,15,39.25,0.0,-0.0
2,16,34.95,1.0,-349.5
2,17,37.26,0.0,-0.0
2,18,46.84,0.0,-0.0
2,19,56.49,1.0,-564.9
2,20,56.05,0.0,-0.0
2,21,45.5,0.0,-0.0
2,22,39.32,1.0,-393.2
2,23,43.0,1.0,-430.0
2,24,41.07,-1.0,328.56
3,1,39.44,1.0,-394.4
3,2,31.98,1.0,-319.8
3,3,30.0,1.0,-300.0
3,4,27.07,1.0,-270.7
3,5,19.18,1.0,-191.8
3,6,17.51,1.0,-175.10000000000002
3,7,17.03,1.0,-170.3
3,8,21.0,1.0,-210.0
3,9,28.23,0.0,-0.0
3,10,35.01,0.0,-0.0
3,11,40.0,0.0,-0.0
3,12,44.18,0.0,-0.0
3,13,47.21,0.0,-0.0
3,14,41.55,1.0,-415.5
3,15,36.54,0.0,-0.0
3,16,33.2,1.0,-332.0
3,17,26.53,0.0,-0.0
3,18,44.6,0.0,-0.0
3,19,56.85,1.0,-568.5
3,20,57.75,0.0,-0.0
3,21,49.66,0.0,-0.0
3,22,39.67,1.0,-396.70000000000005
3,23,43.55,1.0,-435.5
3,24,39.34,-1.0,314.72
4,1,37.15,1.0,-371.5
4,2,33.47,1.0,-334.7
4,3,28.0,1.0,-280.0
4,4,21.29,1.0,-212.89999999999998
4,5,16.92,1.0,-169.20000000000002
4,6,28.0,1.0,-280.0
4,7,36.43,1.0,-364.3
4,8,59.47,1.0,-594.7
4,9,59.73,0.0,-0.0
4,10,62.1,0.0,-0.0
4,11,62.74,0.0,-0.0
4,12,62.65,0.0,-0.0
4,13,62.51,0.0,-0.0
4,14,59.92,1.0,-599.2
4,15,56.0,0.0,-0.0
4,16,49.67,1.0,-496.70000000000005
4,17,54.4,0.0,-0.0
4,18,71.11,0.0,-0.0
4,19,78.77,1.0,-787.6999999999999
4,20,64.46,0.0,-0.0
4,21,50.73,0.0,-0.0
4,22,43.9,1.0,-439.0
4,23,46.58,1.0,-465.79999999999995
4,24,43.38,-1.0,347.04
5,1,37.9,1.0,-379.0
5,2,38.11,1.0,-381.1
5,3,29.99,1.0,-299.9
5,4,28.91,1.0,-289.1
5,5,27.0,1.0,-270.0
5,6,29.56,1.0,-295.59999999999997
5,7,40.94,1.0,-409.4
5,8,55.0,1.0,-550.0
5,9,55.5,0.0,-0.0
5,10,57.1,0.0,-0.0
5,11,57.0,0.0,-0.0
5,12,58.0,0.0,-0.0
5,13,57.0,0.0,-0.0
5,14,56.17,1.0,-561.7
5,15,56.28,0.0,-0.0
5,16,53.54,1.0,-535.4
5,17,56.19,0.0,-0.0
5,18,67.2,0.0,-0.0
5,19,62.0,1.0,-620.0
5,20,55.0,0.0,-0.0
5,21,49.5,0.0,-0.0
5,22,45.88,1.0,-458.8
5,23,42.68,1.0,-426.8
5,24,41.85,-1.0,334.8
6,1,48.52,1.0,-485.20000000000005
6,2,39.62,1.0,-396.2
6,3,41.25,1.0,-412.5
6,4,37.12,1.0,-371.2
6,5,32.5,1.0,-325.0
6,6,39.5,1.0,-395.0
6,7,51.69,1.0,-516.9
6,8,56.9,1.0,-569.0
6,9,56.95,0.0,-0.0
6,10,49.75,0.0,-0.0
6,11,52.31,0.0,-0.0
6,12,68.16,0.0,-0.0
6,13,66.19,0.0,-0.0
6,14,61.24,1.0,-612.4
6,15,59.7,0.0,-0.0
6,16,54.63,1.0,-546.3000000000001
6,17,51.0,0.0,-0.0
6,18,66.99,0.0,-0.0
6,19,75.0,1.0,-750.0
6,20,56.9,0.0,-0.0
6,21,43.56,0.0,-0.0
6,22,40.5,1.0,-405.0
6,23,56.36,1.0,-563.6
6,24,58.98,-1.0,471.84
7,1,40.0,1.0,-400.0
7,2,38.02,1.0,-380.20000000000005
7,3,34.99,1.0,-349.90000000000003
7,4,33.65,1.0,-336.5
7,5,32.0,1.0,-320.0
7,6,32.82,1.0,-328.2
7,7,39.1,1.0,-391.0
7,8,52.65,1.0,-526.5
7,9,59.0,0.0,-0.0
7,10,62.66,0.0,-0.0
7,11,61.1,0.0,-0.0
7,12,62.86,0.0,-0.0
7,13,63.0,0.0,-0.0
7,14,70.8,1.0,-708.0
7,15,66.4,0.0,-0.0
7,16,55.75,1.0,-557.5
7,17,60.12,0.0,-0.0
7,18,77.44,0.0,-0.0
7,19,70.0,1.0,-700.0
7,20,59.95,0.0,-0.0
7,21,54.0,0.0,-0.0
7,22,48.0,1.0,-480.0
7,23,46.47,1.0,-464.7
7,24,43.94,-1.0,351.52
8,1,47.96,1.0,-479.6
8,2,49.02,1.0,-490.20000000000005
8,3,37.0,1.0,-370.0
8,4,33.61,1.0,-336.1
8,5,32.96,1.0,-329.6
8,6,33.31,1.0,-333.1
8,7,54.9,1.0,-549.0
8,8,66.26,1.0,-662.6
8,9,75.0,0.0,-0.0
8,10,78.09,0.0,-0.0
8,11,61.45,0.0,-0.0
8,12,59.26,0.0,-0.0
8,13,57.0,0.0,-0.0
8,14,61.4,1.0,-614.0
8,15,49.01,0.0,-0.0
8,16,48.0,1.0,-480.0
8,17,49.66,0.0,-0.0
8,18,63.08,0.0,-0.0
8,19,55.63,1.0,-556.3000000000001
8,20,47.15,0.0,-0.0
8,21,41.49,0.0,-0.0
8,22,34.99,1.0,-349.90000000000003
8,23,36.04,1.0,-360.4
8,24,54.9,-1.0,439.20000000000005
9,1,30.04,1.0,-300.4
9,2,28.0,1.0,-280.0
9,3,46.16,1.0,-461.59999999999997
9,4,27.53,1.0,-275.3
9,5,25.0,1.0,-250.0
9,6,22.0,1.0,-220.0
9,7,30.24,1.0,-302.4
9,8,33.0,1.0,-330.0
9,9,37.0,0.0,-0.0
9,10,42.99,0.0,-0.0
9,11,46.59,0.0,-0.0
9,12,46.76,0.0,-0.0
9,13,47.66,0.0,-0.0
9,14,45.0,1.0,-450.0
9,15,43.6,0.0,-0.0
9,16,40.06,1.0,-400.6
9,17,45.0,0.0,-0.0
9,18,55.29,0.0,-0.0
9,19,51.61,1.0,-516.1
9,20,48.0,0.0,-0.0
9,21,48.77,0.0,-0.0
9,22,39.93,1.0,-399.3
9,23,43.24,1.0,-432.40000000000003
9,24,43.05,-1.0,344.40000000000003
10,1,66.0,1.0,-660.0
10,2,63.19,1.0,-631.9
10,3,56.18,1.0,-561.8
10,4,18.0,1.0,-180.0
10,5,0.01,1.0,-0.1
10,6,0.01,1.0,-0.1
10,7,1.0,1.0,-10.0
10,8,0.01,1.0,-0.1
10,9,20.99,0.0,-0.0
10,10,30.0,0.0,-0.0
10,11,44.65,0.0,-0.0
10,12,46.93,0.0,-0.0
10,13,46.6,0.0,-0.0
10,14,44.86,1.0,-448.6
10,15,39.99,0.0,-0.0
10,16,35.57,1.0,-355.7
10,17,39.5,0.0,-0.0
10,18,47.93,0.0,-0.0
10,19,54.0,1.0,-540.0
10,20,49.18,0.0,-0.0
10,21,45.62,0.0,-0.0
10,22,43.0,1.0,-430.0
10,23,43.0,1.0,-430.0
10,24,38.1,-1.0,304.8
11,1,59.43,1.0,-594.3
11,2,45.93,1.0,-459.3
11,3,36.09,1.0,-360.90000000000003
11,4,31.0,1.0,-310.0
11,5,30.91,1.0,-309.1
11,6,30.9,1.0,-309.0
11,7,37.31,1.0,-373.1
11,8,57.04,1.0,-570.4
11,9,70.5,0.0,-0.0
11,10,71.5,0.0,-0.0
11,11,71.0,0.0,-0.0
11,12,70.04,0.0,-0.0
11,13,68.75,0.0,-0.0
11,14,84.48,1.0,-844.8000000000001
11,15,81.52,0.0,-0.0
11,16,61.45,1.0,-614.5
11,17,72.69,0.0,-0.0
11,18,89.0,0.0,-0.0
11,19,80.66,1.0,-806.5999999999999
11,20,63.5,0.0,-0.0
11,21,49.99,0.0,-0.0
11,22,43.66,1.0,-436.59999999999997
11,23,66.19,1.0,-661.9
11,24,62.92,-1.0,503.36000000000007
12,1,63.2,1.0,-632.0
12,2,67.27,1.0,-672.6999999999999
12,3,61.85,1.0,-618.5
12,4,55.0,1.0,-550.0
12,5,53.02,1.0,-530.2
12,6,60.29,1.0,-602.9
12,7,75.0,1.0,-750.0
12,8,102.12,1.0,-1021.2
12,9,143.28,0.0,-0.0
12,10,195.56,0.0,-0.0
12,11,179.58,0.0,-0.0
12,12,158.11,0.0,-0.0
12,13,93.99,0.0,-0.0
12,14,75.17,1.0,-751.7
12,15,66.11,0.0,-0.0
12,16,66.2,1.0,-662.0
12,17,65.66,0.0,-0.0
12,18,83.73,0.0,-0.0
12,19,101.25,1.0,-1012.5
12,20,72.77,0.0,-0.0
12,21,64.15,0.0,-0.0
12,22,42.0,1.0,-420.0
12,23,61.1,1.0,-611.0
12,24,54.69,-1.0,437.52
13,1,44.96,1.0,-449.6
13,2,46.4,1.0,-464.0
13,3,45.88,1.0,-458.8
13,4,35.01,1.0,-350.09999999999997
13,5,34.28,1.0,-342.8
13,6,37.11,1.0,-371.1
13,7,53.05,1.0,-530.5
13,8,66.18,1.0,-661.8000000000001
13,9,63.92,0.0,-0.0
13,10,61.46,0.0,-0.0
13,11,62.36,0.0,-0.0
13,12,63.88,0.0,-0.0
13,13,66.46,0.0,-0.0
13,14,65.15,1.0,-651.5
13,15,63.6,0.0,-0.0
13,16,57.65,1.0,-576.5
13,17,58.29,0.0,-0.0
13,18,67.01,0.0,-0.0
13,19,72.13,1.0,-721.3
13,20,71.03,0.0,-0.0
13,21,67.5,0.0,-0.0
13,22,43.5,1.0,-435.0
13,23,51.67,1.0,-516.7
13,24,47.0,-1.0,376.0
14,1,44.09,1.0,-440.90000000000003
14,2,45.18,1.0,-451.8
14,3,41.19,1.0,-411.9
14,4,33.5,1.0,-335.0
14,5,32.21,1.0,-322.1
14,6,40.9,1.0,-409.0
14,7,51.47,1.0,-514.7
14,8,65.25,1.0,-652.5
14,9,65.58,0.0,-0.0
14,10,66.2,0.0,-0.0
14,11,66.19,0.0,-0.0
14,12,66.17,0.0,-0.0
14,13,65.29,0.0,-0.0
14,14,63.08,1.0,-630.8
14,15,62.03,0.0,-0.0
14,16,57.23,1.0,-572.3
14,17,61.11,0.0,-0.0
14,18,69.0,0.0,-0.0
14,19,87.96,1.0,-879.5999999999999
14,20,69.99,0.0,-0.0
14,21,66.19,0.0,-0.0
14,22,55.59,1.0,-555.9000000000001
14,23,55.53,1.0,-555.3
14,24,50.62,-1.0,404.96000000000004
15,1,47.73,1.0,-477.29999999999995
15,2,47.78,1.0,-477.8
15,3,42.75,1.0,-427.5
15,4,32.99,1.0,-329.90000000000003
15,5,32.0,1.0,-320.0
15,6,39.84,1.0,-398.40000000000003
