Episode,TotalReward,Epsilon
1,-7374344.779999973,0.95
2,-7397095.159999979,0.9025
3,-7358472.959999984,0.8573749999999999
4,-7353840.539999982,0.8145062499999999
5,-7260711.799999968,0.7737809374999999
6,-7317119.999999965,0.7350918906249998
7,-7232139.899999966,0.6983372960937497
8,-7295434.89999996,0.6634204312890623
9,-7276331.919999991,0.6302494097246091
10,-7157610.759999972,0.5987369392383786
11,-7213360.439999971,0.5688000922764596
12,-7164429.599999966,0.5403600876626365
13,-7195856.759999963,0.5133420832795047
14,-7224588.699999972,0.48767497911552943
15,-7167661.979999996,0.46329123015975293
16,-7151251.919999974,0.44012666865176525
17,-7043474.6199999675,0.41812033521917696
18,-7168596.439999979,0.3972143184582181
19,-6998973.379999987,0.37735360253530714
20,-7037986.359999972,0.35848592240854177
